route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
4419_48887,112,4419_4229,Tallaght,438.MF-BH.93-RED-y11,0,4419_7778148_Txc110416,4419_32
4419_48886,112,4419_423,Sandyford,274.MF-BH.93-GRN-y11,0,4419_7778148_Txc105264,4419_4
4419_48887,115,4419_4234,Saggart,351.SuBH.93-RED-y11-,0,4419_7778148_Txc110234,4419_22
4419_48887,113,4419_4239,Saggart,328.Sat.93-RED-y11-1,0,4419_7778148_Txc110129,4419_22
4419_48887,114,4419_4240,Saggart,328.gf.93-RED-y11-16,0,4419_7778148_Txc110131,4419_22
4419_48887,112,4419_4243,Saggart,431.MF-BH.93-RED-y11,0,4419_7778148_Txc110409,4419_22
4419_48887,113,4419_4244,Tallaght,337.Sat.93-RED-y11-1,0,4419_7778148_Txc110169,4419_19
4419_48887,114,4419_4245,Tallaght,337.gf.93-RED-y11-16,0,4419_7778148_Txc110171,4419_33
4419_48887,112,4419_4246,Tallaght,440.MF-BH.93-RED-y11,0,4419_7778148_Txc110422,4419_32
4419_48887,115,4419_4249,Tallaght,360.SuBH.93-RED-y11-,0,4419_7778148_Txc110274,4419_34
4419_48887,115,4419_4254,Saggart,353.SuBH.93-RED-y11-,0,4419_7778148_Txc110242,4419_22
4419_48887,113,4419_4259,Saggart,330.Sat.93-RED-y11-1,0,4419_7778148_Txc110141,4419_22
4419_48887,114,4419_4260,Saggart,330.gf.93-RED-y11-16,0,4419_7778148_Txc110143,4419_22
4419_48887,112,4419_4263,Saggart,433.MF-BH.93-RED-y11,0,4419_7778148_Txc110411,4419_22
4419_48887,112,4419_4264,Tallaght,442.MF-BH.93-RED-y11,0,4419_7778148_Txc110424,4419_32
4419_48887,113,4419_4265,Tallaght,339.Sat.93-RED-y11-1,0,4419_7778148_Txc110177,4419_19
4419_48887,114,4419_4266,Tallaght,339.gf.93-RED-y11-16,0,4419_7778148_Txc110179,4419_33
4419_48887,113,4419_4269,Saggart,332.Sat.93-RED-y11-1,0,4419_7778148_Txc110149,4419_22
4419_48886,115,4419_427,Brides Glen,106.SuBH.93-GRN-y11-,0,4419_7778148_Txc104642,4419_1
4419_48887,114,4419_4270,Saggart,332.gf.93-RED-y11-16,0,4419_7778148_Txc110151,4419_22
