shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4419_60,53.3004752,-6.3733591,236,4890.152
4419_28,53.3490421,-6.2406407,44,767.477
4419_50,53.2874623564299,-6.37469609087071,2,3.544
4419_4,53.3373396,-6.2627834,281,6124.458
4419_5,53.2521605,-6.1584932,724,16707.629
4419_32,53.3331399,-6.3291578,516,8174.809
4419_19,53.3168742188222,-6.36985406167901,700,11587.079
4419_33,53.347568,-6.2661033,216,2555.585
4419_28,53.3477821,-6.2850523,336,3839.142
4419_30,53.3208407,-6.3602541,661,10935.126
4419_38,53.3474142,-6.2673511,447,8969.069
4419_41,53.347154,-6.2794667,797,15624.425
4419_34,53.2873563,-6.3764737,928,16274.076
4419_46,53.287256,-6.3758225,16,82.935
4419_18,53.3523785,-6.2619802,501,10612.239
4419_62,53.2864098,-6.4208423,91,1282.803
4419_13,53.2550292,-6.1742625,161,2718.533
4419_27,53.350179299851,-6.25220947329817,28,230.188
4419_51,53.3299937,-6.3323322,468,7817.827
4419_32,53.3470856,-6.2770779,284,3299.693
4419_19,53.3329711,-6.3292671,517,8194.957
4419_33,53.3488361389668,-6.23790896735993,33,584.077
4419_8,53.3116792,-6.2520871,305,5296.119
4419_31,53.3251422,-6.3483406,606,9791.804
4419_26,53.3481032,-6.262209,100,960.887
4419_35,53.3189781,-6.3658537,652,11147.508
4419_14,53.3428111,-6.257823,876,16917.486
4419_35,53.3487555,-6.2363878,25,482.367
4419_9,53.2769733,-6.2034217,441,10910.407
4419_28,53.3501881816999,-6.25214258620171,121,1553.867
4419_16,53.2461146,-6.1472844,33,571.075
4419_10,53.2897198,-6.2415756,483,11821.933
4419_52,53.3373354,-6.3026935,561,10101.27
4419_56,53.3002208,-6.373499,182,2189.643
4419_19,53.3483813,-6.2594958,179,2105.798
4419_12,53.329552,-6.2576778,232,7533.572
4419_52,53.3487175,-6.2351408,962,16014.348
4419_6,53.351053,-6.2648349,106,3538.851
4419_1,53.2684663,-6.2058179,649,16028.638
4419_19,53.3470953,-6.277269,285,3312.466
4419_29,53.28742,-6.3767119,137,1889.297
4419_17,53.2555661,-6.1794288,193,3092.005
4419_60,53.3502103015679,-6.2518673764886,943,17549.083
4419_61,53.3478853849923,-6.28695864546255,779,15117.6
4419_13,53.2716987,-6.2014381,376,6667.156
4419_50,53.3216037,-6.3582407,417,5848.564
4419_34,53.3478503,-6.2867358,347,3951.539
4419_47,53.3501341361125,-6.25154758099962,545,10098.861
4419_7,53.3444218,-6.2593883,77,1150.166
4419_22,53.2894536072499,-6.41369098690946,67,2826.862
4419_8,53.2802891,-6.2128742,411,10174.003
4419_18,53.3397377,-6.2586957,392,9056.052
4419_51,53.3484569,-6.2592141,837,14326.299
4419_60,53.284117,-6.4289275,53,619.661
4419_9,53.3004524,-6.2505629,332,6550.085
4419_1,53.2796255,-6.2108638,543,14235.094
4419_32,53.3170724,-6.3699319,699,11564.421
4419_38,53.3414341,-6.2919656,264,6406.343
4419_42,53.3500036460674,-6.25071867032909,215,2972.603
4419_44,53.3471029,-6.2759772,412,8384.23
4419_33,53.338673468571,-6.29126261029233,448,5530.326
4419_23,53.2982937,-6.3764541,706,13184.173
4419_3,53.2556539,-6.1792957,368,10980.099
4419_30,53.3074134872582,-6.35882070814054,770,13123.511
4419_37,53.3469707656519,-6.27077890606054,245,2874.451
4419_51,53.3175152,-6.3701479,362,4891.742
4419_34,53.2969729,-6.3801135,822,14802.754
4419_24,53.3161541,-6.3694214,711,11673.473
4419_35,53.3472202952616,-6.26886753685059,237,2744.026
4419_10,53.3397926,-6.2604007,254,5798.03
4419_5,53.3105116,-6.2517976,309,5427.509
4419_35,53.3467812405527,-6.27245503476869,254,2988.13
4419_61,53.3341038,-6.3283143,550,11024.885
4419_60,53.2896033,-6.4131414,113,1928.71
4419_34,53.3471851,-6.2690811,238,2758.779
4419_17,53.33468,-6.2631722,791,15799.752
4419_6,53.2751475,-6.2033325,581,15022.135
4419_1,53.352875,-6.2609157,128,3870.713
4419_25,53.2873034,-6.3754961,850,15012.135
4419_36,53.334028,-6.328401,503,8063.322
4419_43,53.3489436,-6.2560847,851,14541.668
4419_1,53.3183655,-6.2539424,420,8449.743
4419_34,53.3277345,-6.3391206,576,9112.294
4419_24,53.2949272153313,-6.38939948462744,834,15463.322
4419_61,53.3236043,-6.3527051,473,8950.014
4419_62,53.3350263,-6.3213541,566,11500.65
4419_38,53.3414847,-6.2929088,278,6474.807
4419_20,53.2986923747486,-6.37560509954899,29,887.604
4419_32,53.3492253172729,-6.24330238028939,55,945.919
4419_4,53.3486923283068,-6.25763107098485,158,4501.058
4419_16,53.2533869,-6.1672801,142,2217.681
4419_31,53.3477748072109,-6.29182408352602,377,4298.092
4419_5,53.25827075715,-6.19838166710153,601,13857.714
4419_32,53.3461275553426,-6.29162148240619,393,4482.326
4419_19,53.296830428142,-6.3807612545433,823,14848.764
4419_28,53.3378184391485,-6.29794062478163,459,5987.007
4419_30,53.333837,-6.3286204,538,8305.543
4419_41,53.3415401,-6.2923986,674,13913.028
4419_51,53.3152391,-6.366698,316,4517.586
4419_19,53.3429577847937,-6.29132878194677,408,4851.204
4419_34,53.2937038,-6.3846259,868,15376.086
4419_25,53.3498908,-6.2525088,37,269.341
4419_36,53.2985284874776,-6.37590816222038,795,14467.457
4419_61,53.2919277,-6.402852,135,2662.146
4419_9,53.3319975,-6.2601192,209,2939.375
4419_14,53.2635517,-6.2109021,292,5497.381
4419_50,53.3189924,-6.366234,400,5237.744
4419_21,53.2973809,-6.3782756,51,1119.427
4419_36,53.349605578504,-6.24911606826192,88,1335.503
4419_44,53.3477763,-6.2649188,458,9136.009
4419_61,53.3473349910772,-6.26824761757904,842,16381.802
4419_2,53.2463038,-6.1474931,341,6921.437
4419_19,53.3484202,-6.2310337,10,123.84
4419_60,53.3469256,-6.2739243,820,15996.346
4419_24,53.3478501,-6.2642331,204,2427.116
4419_6,53.2489641,-6.1507088,873,21246.624
4419_9,53.2714714,-6.2016957,501,11685.391
4419_13,53.2727399,-6.2007738,393,6797.515
4419_50,53.3463975,-6.2917744,692,11955.293
4419_52,53.3070668,-6.3588085,255,3459.361
4419_56,53.3065171,-6.3590217,242,3396.014
4419_19,53.3501349458132,-6.25181546530132,116,1531.069
4419_8,53.3208449,-6.2546297,288,4262.052
4419_39,53.3342017,-6.327934,509,8382.183
4419_43,53.3372535,-6.3033615,559,10055.846
4419_51,53.3478686,-6.2917989,714,12121.285
4419_60,53.3498790384658,-6.25257921271566,926,17478.382
4419_13,53.33468,-6.2631722,791,15799.752
4419_3,53.2789378,-6.2086742,136,6239.422
4419_37,53.3483286,-6.2599585,185,2137.172
4419_12,53.2960972,-6.248902,109,3752.87
4419_60,53.3315146,-6.3303357,528,10704.57
4419_13,53.2820494,-6.218402,499,8557.22
4419_3,53.2526244,-6.1611557,428,12265.423
4419_37,53.3362285554183,-6.31056866275312,477,6848.429
4419_50,53.3123002,-6.3632989,294,4118.91
4419_24,53.3396408851108,-6.29074992104262,436,5410.302
4419_18,53.3326582,-6.260525,286,7942.303
4419_51,53.322756,-6.3550352,422,6097.723
4419_19,53.347116,-6.2792367,302,3444.077
4419_27,53.3414970084425,-6.2919793326335,337,3859.592
4419_30,53.3431425985394,-6.29099311786674,432,5035.807
4419_43,53.3183915,-6.369566,376,4998.258
4419_51,53.349094,-6.2409642,946,15624.175
4419_24,53.3501182,-6.2523482,127,1570.073
4419_39,53.3498198,-6.2526134,878,14800.857
4419_28,53.3478877,-6.2877924,353,4022.04
4419_52,53.3415464,-6.292238,624,11231.618
4419_62,53.284002,-6.4301094,45,539.464
4419_4,53.3574952,-6.2773114,52,2275.444
4419_44,53.3189931,-6.3669342,43,388.482
4419_7,53.3328525,-6.2622824,183,2730.164
4419_23,53.3211423816588,-6.35942168408489,537,9325.804
4419_36,53.2840347520494,-6.43222810838416,901,18685.909
4419_15,53.3395065,-6.2589577,385,9021.76
4419_37,53.3189460377518,-6.3673080068179,660,11244.59
4419_43,53.287654,-6.3772561,38,192.132
4419_61,53.2843542,-6.4328756,29,342.014
4419_45,53.2893652284311,-6.37886636990244,59,411.32
4419_9,53.2829828,-6.2234847,395,9399.736
4419_37,53.2840703132212,-6.42899769484042,892,18468.969
4419_43,53.2964132788221,-6.3828697743801,144,1415.613
4419_56,53.3471018,-6.2765357,763,13149.629
4419_23,53.3475547,-6.2662009,122,1234.0
4419_31,53.3469660427271,-6.27446627939856,268,3124.285
4419_41,53.3478775,-6.2867327,780,15132.674
4419_14,53.2779295,-6.2057579,475,7597.012
4419_47,53.3227067,-6.3551752,67,1284.302
4419_62,53.3036429616925,-6.36546384567636,260,5527.304
4419_23,53.3474484,-6.2828,228,2356.235
4419_31,53.3187213,-6.368721,669,11342.689
4419_38,53.3496598,-6.2492804,570,10264.067
4419_32,53.2937038,-6.3846259,868,15376.086
4419_24,53.3486944,-6.2352859,21,408.667
4419_6,53.263501,-6.2108362,690,16735.842
4419_2,53.2601961,-6.2036945,158,2643.55
4419_24,53.3303735,-6.3316092,542,8525.968
4419_27,53.3307443,-6.3311425,443,7146.016
4419_37,53.3291652,-6.3340695,554,8738.403
4419_43,53.3315886,-6.3302652,482,8043.5
4419_51,53.3358529,-6.3139843,531,9329.63
4419_62,53.3415508,-6.2922927,672,13905.845
4419_35,53.2842475562135,-6.42429645869194,884,18154.271
4419_15,53.35237,-6.2614048,491,10567.108
4419_19,53.2873090835802,-6.37622102388907,932,16291.751
4419_4,53.3279008,-6.2566398,390,7373.369
4419_34,53.318965,-6.3660216,653,11158.792
4419_52,53.3479163,-6.2878057,730,12390.533
4419_60,53.3067956,-6.3588593,296,6099.479
4419_62,53.2937153,-6.3947307,151,3239.119
4419_5,53.2723858,-6.2006789,492,11562.613
4419_41,53.3153148,-6.3668091,365,7199.355
4419_56,53.3427582,-6.292388,657,11485.726
4419_17,53.3074212,-6.251445,608,12545.016
4419_61,53.315395,-6.3669437,367,7212.013
4419_9,53.3488613,-6.257629,26,573.798
4419_4,53.3261408425058,-6.25611355558497,404,7572.382
4419_20,53.2876779,-6.3772225,152,2659.182
4419_60,53.284216,-6.4253058,67,861.807
4419_13,53.3563896,-6.2772996,1037,19518.682
4419_19,53.2935159,-6.3843648,869,15403.297
4419_34,53.3429906952789,-6.29119998509515,407,4841.876
4419_17,53.35237,-6.2614048,960,18081.428
4419_62,53.3375276,-6.3010158,612,12885.612
4419_1,53.3395798,-6.2596114,251,5740.358
4419_50,53.3492788,-6.2437911,938,15434.791
4419_33,53.3415409585245,-6.29205332064779,431,5180.9
4419_36,53.3296639,-6.3329677,549,8646.365
4419_2,53.2682813,-6.2062399,95,1356.025
4419_51,53.2909205,-6.3808037,70,627.413
4419_1,53.3468978,-6.2572403,174,4703.552
4419_52,53.2933147,-6.3841618,86,975.521
4419_56,53.3191869,-6.3649505,411,5326.733
4419_35,53.3415470331585,-6.29299707153957,423,5115.593
4419_61,53.3369091,-6.3057425,596,12562.823
4419_9,53.2558285,-6.1767141,670,15410.884
4419_36,53.3467713,-6.2727563,257,3008.306
4419_39,53.3160505,-6.3693123,340,4716.138
4419_41,53.3433678,-6.2911443,720,14284.881
4419_42,53.3474024759658,-6.26744997742751,106,1777.633
4419_47,53.3431884,-6.2910357,313,6789.774
4419_60,53.3150173,-6.3664624,359,7158.865
4419_37,53.3485152822806,-6.23250401620348,16,222.331
4419_26,53.3496473,-6.2526732,40,298.588
4419_10,53.3167015,-6.2534857,423,8637.42
4419_23,53.2885126892154,-6.41781010738,766,16160.102
4419_18,53.3539894,-6.275313,561,11705.864
4419_38,53.3187965,-6.3685679,32,276.685
4419_4,53.3514707,-6.2638159,112,3621.618
4419_10,53.3532166,-6.260124,131,3935.712
4419_19,53.3276592,-6.3394251,577,9134.246
4419_33,53.3496572,-6.2494324,93,1357.546
4419_30,53.3055033473185,-6.36073571041368,784,13391.086
4419_38,53.3435496,-6.2912479,324,6833.654
4419_39,53.2886942,-6.3781573,48,322.734
4419_41,53.3186323,-6.3690855,428,7710.763
4419_52,53.3184872,-6.3694158,378,5012.882
4419_61,53.3485129,-6.2320097,1011,18894.661
4419_9,53.2841626,-6.2318331,378,8825.438
4419_33,53.2983438,-6.3763709,800,14504.56
4419_23,53.2999567719957,-6.37378331315458,689,12925.122
4419_27,53.3342488,-6.3274085,397,6663.572
4419_1,53.247983,-6.1486069,881,21425.949
4419_24,53.348209,-6.2611483,190,2217.522
4419_51,53.3318953,-6.3300024,485,8081.865
4419_56,53.2956145,-6.384685,119,1257.985
4419_51,53.3501252390285,-6.25241279843203,883,14837.423
4419_1,53.2741257,-6.2039343,589,15143.172
4419_15,53.3074212,-6.251445,139,5030.693
4419_34,53.3170724,-6.3699319,699,11564.421
4419_62,53.3084113,-6.3599059,320,6300.056
4419_46,53.2874821,-6.3769666,33,164.886
4419_33,53.3339109,-6.3285538,508,8079.969
4419_23,53.3342488,-6.3274085,397,6663.572
4419_29,53.2980606,-6.3768387,14,181.553
4419_41,53.3288175,-6.3349985,505,10267.56
4419_46,53.296245,-6.3836773,139,1358.557
4419_47,53.3501007,-6.2524325,528,10031.794
4419_5,53.3384987,-6.2617565,140,2069.983
4419_5,53.2774737,-6.204246,432,10829.517
4419_7,53.3326604,-6.2604486,200,2861.321
4419_32,53.3473696,-6.2674529,224,2648.153
4419_30,53.3478039,-6.2854162,369,4079.727
4419_47,53.3386352,-6.2914393,236,6063.058
4419_33,53.288362,-6.3778228,906,16125.689
4419_8,53.2918852,-6.2444559,351,7605.759
4419_28,53.3483441324721,-6.25980017145876,184,2126.487
4419_14,53.2857169,-6.2362196,538,9829.919
4419_47,53.3317496,-6.3301239,130,3261.144
4419_52,53.3472835,-6.2686633,793,13682.972
4419_14,53.2555714,-6.1868408,229,3630.427
4419_52,53.3317496,-6.3301239,484,8063.741
4419_25,53.3477397,-6.2918396,283,2973.882
4419_11,53.3688367,-6.2864606,47,1946.208
4419_37,53.2962563200279,-6.38379576039652,829,15061.381
4419_51,53.3468955,-6.273663,777,13343.518
4419_9,53.3269741,-6.2563518,272,3570.32
4419_56,53.3495044,-6.2471411,932,15210.285
4419_35,53.2970964,-6.3795569,821,14763.178
4419_24,53.3469194,-6.2741447,267,3102.247
4419_48,53.2845565,-6.4333596,23,301.791
4419_56,53.2872695,-6.3755499,13,64.691
4419_7,53.3522739,-6.2590821,14,181.847
4419_32,53.3476990442027,-6.28442635310378,330,3796.356
4419_23,53.3470102406919,-6.29173243557033,291,3055.516
4419_30,53.3278834,-6.3384837,601,9282.962
4419_43,53.3026317,-6.3685869,207,2620.065
4419_60,53.3217689,-6.3577785,465,8554.985
4419_44,53.3289327,-6.3346875,106,2818.781
4419_6,53.2420601,-6.1428525,933,22206.276
4419_62,53.2991865,-6.3750679,214,4704.468
4419_16,53.2485652,-6.1497621,79,900.317
4419_13,53.2551421,-6.1850208,224,3499.874
4419_36,53.3121716386107,-6.3630752354641,732,12304.846
4419_27,53.3483244,-6.2599977,91,811.572
4419_30,53.3491627824654,-6.25479598032112,186,1996.925
4419_17,53.3330135,-6.2625463,777,15609.55
4419_61,53.2973896,-6.3783829,198,4404.47
4419_1,53.3539365,-6.2750676,68,2710.473
4419_24,53.3478865,-6.291677,373,4282.024
4419_21,53.2957023858395,-6.3861321710494,68,1676.348
4419_18,53.3463597235807,-6.25902681598595,455,9877.985
4419_60,53.3492323,-6.2430317,989,18156.179
4419_13,53.2678117,-6.2082641,330,6022.97
4419_32,53.2873163,-6.3762747,931,16288.082
4419_35,53.3253361,-6.3477973,606,9749.658
4419_36,53.3494242,-6.2538772,151,1712.893
4419_17,53.2751461,-6.2033836,439,7205.146
4419_45,53.2957431,-6.3845945,122,1273.559
4419_31,53.2876779,-6.3772225,915,16211.807
4419_51,53.3069744,-6.3588151,253,3449.066
4419_14,53.2525764,-6.1604925,123,1751.947
4419_41,53.3086793,-6.3601997,322,6335.74
4419_28,53.3471454374296,-6.27807557304369,290,3366.475
4419_10,53.3328136,-6.2621287,314,6649.329
4419_31,53.3486966105869,-6.23531571817174,22,410.668
4419_14,53.3181862,-6.2539479,644,13755.599
4419_17,53.2863379,-6.2371565,545,9923.145
4419_43,53.3150874,-6.3665323,313,4497.401
4419_19,53.3044559553598,-6.36309100736042,760,13370.434
4419_35,53.3160542,-6.3692284,715,11690.557
4419_25,53.3352064005367,-6.31950541638472,389,6126.315
4419_61,53.3071855,-6.3588151,304,6143.133
4419_34,53.3484741836952,-6.25888311402781,175,2063.702
4419_62,53.3384498,-6.2925134,629,13461.295
4419_6,53.3585753,-6.2775057,43,2152.857
4419_60,53.3483971,-6.2596507,880,16967.008
4419_62,53.3461615,-6.2917031,735,14599.146
4419_5,53.3442661,-6.2593353,80,1167.868
4419_37,53.3494782,-6.2471453,76,1203.486
4419_44,53.3483442402072,-6.2601330324643,475,9461.199
4419_46,53.3003151,-6.3734282,185,2201.19
4419_8,53.3294211,-6.257519,242,3285.97
4419_52,53.2943647,-6.3851997,103,1113.993
4419_17,53.2453469848497,-6.14592522132511,24,446.447
4419_46,53.2922798,-6.3827299,79,825.897
4419_61,53.349998059092,-6.25097877578155,951,17612.817
4419_1,53.2914161,-6.2438126,480,11581.302
4419_7,53.3291384,-6.257303,246,3320.573
4419_19,53.3384439624524,-6.29233687363171,454,5607.281
4419_38,53.3371019,-6.3047046,201,5162.198
4419_47,53.348432,-6.2593695,482,9512.986
4419_22,53.2845131622967,-6.4357871011863,127,4576.806
4419_34,53.3497907,-6.2496919,98,1380.365
4419_41,53.3462272,-6.2917256,737,14606.613
4419_47,53.342439,-6.2935466,296,6596.189
4419_21,53.2851684291765,-6.42212851911843,111,4407.989
4419_36,53.3494215,-6.2463114,71,1147.59
4419_12,53.33204,-6.2602321,275,7870.058
4419_43,53.3182271,-6.3697422,373,4976.478
4419_9,53.3273709,-6.2564655,269,3525.514
4419_16,53.2548741,-6.181155,205,3230.885
4419_50,53.3289327,-6.3346875,460,7621.379
4419_56,53.2872933,-6.3753622,10,51.885
4419_5,53.244306,-6.1443502,787,18027.493
4419_19,53.3478319,-6.28615,345,3912.472
4419_27,53.336546347579,-6.30772556886467,380,5327.498
