route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
4452_86289,130,4532_1492,Greystones,E131,1,4532_7778018_Txc66AAE104-B4C4-4D0D-93F4-57E0630F646C,4532_2
4452_86289,142,4532_1493,Greystones,E131,1,4532_7778018_Txc673F8024-2CDE-4FDB-AA37-CB53E366312C,4532_2
4452_86289,319,4532_1500,Lansdowne Road,E554,1,4532_7778018_TxcE71ADEB2-ECEA-4146-8413-38E1ABC020CD,4532_14
4452_86289,312,4532_1506,Bray (Daly),E287,1,4532_7778018_Txc647749B4-B05E-43E9-9DBA-A91488D72564,4532_6
4452_86289,314,4532_1508,Bray (Daly),E267,1,4532_7778018_Txc8C8A1131-DA88-4A5F-A753-79FD631B43BA,4532_6
4452_86289,151,4532_1509,Bray (Daly),E267,1,4532_7778018_Txc39E71653-1EF3-4327-BF54-129368307E7E,4532_6
4452_86289,311,4532_1510,Bray (Daly),E239,1,4532_7778018_Txc33CACB35-5861-4CDA-8DBE-6F8316A493E4,4532_8
4452_86289,140,4532_1519,Bray (Daly),E239,1,4532_7778018_TxcA7596787-A785-4942-81C1-CE71E236A048,4532_8
4452_86289,140,4532_152,Bray (Daly),E205,1,4532_7778018_TxcEE298645-71BE-44BA-A8D4-4060706BA2B4,4532_7
4452_86289,139,4532_1521,Greystones,E128,1,4532_7778018_TxcD9998F3D-A2C3-4CB0-8EE3-B377921C4782,4532_1
4452_86289,313,4532_1525,Bray (Daly),E232,1,4532_7778018_Txc649BB3F7-27BB-4E42-909D-E3A984347B55,4532_8
4452_86289,130,4532_1530,Bray (Daly),E232,1,4532_7778018_Txc6170CE77-F2B3-4488-8A96-DEE776A192D7,4532_8
4452_86289,142,4532_1531,Bray (Daly),E232,1,4532_7778018_Txc2F5B3A4B-A7D8-403A-9441-94CB814F1989,4532_8
4452_86289,139,4532_154,Bray (Daly),E211,1,4532_7778018_TxcE6A09AAB-E43F-4CF4-8F35-32B545B31537,4532_7
4452_86289,311,4532_1542,Greystones,E113,1,4532_7778018_TxcEFC222B6-77DA-48C1-AB10-4566542E5BF3,4532_2
4452_86289,139,4532_1543,Bray (Daly),E256,1,4532_7778018_Txc5F643F61-B6C2-4E3C-8BBE-E6EAF69404CF,4532_7
4452_86289,140,4532_1553,Greystones,E113,1,4532_7778018_Txc9149024F-C11B-40D6-BA68-9747A0801D7F,4532_2
4452_86289,312,4532_1555,Bray (Daly),E288,1,4532_7778018_Txc9DB81B17-9BC8-4006-B1CE-72C4250287D8,4532_6
4452_86289,314,4532_1557,Greystones,E161,1,4532_7778018_Txc6630BF7E-4F03-4C15-B2EB-285C825D2374,4532_5
4452_86289,151,4532_1558,Greystones,E161,1,4532_7778018_Txc38555609-F95C-4C0A-AA1C-8F859185148C,4532_5
4452_86289,312,4532_1566,Bray (Daly),E289,1,4532_7778018_Txc867F276D-E1E5-4D55-8BB9-7B11EACEA260,4532_6
4452_86289,312,4532_1567,Dublin Connolly,BUS887,1,4532_7778018_Txc86FB5D23-697D-43BC-AD1B-552AC2458C0C,4532_39
4452_86289,314,4532_1568,Dublin Connolly,BUS887,1,4532_7778018_TxcC3E46973-54B8-4E3E-A4FA-8D5960D00490,4532_39
4452_86289,151,4532_1569,Dublin Connolly,BUS887,1,4532_7778018_TxcAADF187B-942F-4B41-B8CA-247EA7DB7B9B,4532_39
4452_86289,313,4532_1570,Greystones,E133,1,4532_7778018_Txc880CB185-AD39-49CE-B548-7C984C0A6C75,4532_2
4452_86289,130,4532_1575,Greystones,E133,1,4532_7778018_TxcDD01F693-90E8-4414-A993-D42EE41BC056,4532_2
4452_86289,142,4532_1576,Greystones,E133,1,4532_7778018_Txc4E09617C-54FE-4E89-8F30-12B9BBFD57D2,4532_2
4452_86289,139,4532_1578,Bray (Daly),E257,1,4532_7778018_Txc7701F596-71C5-42A5-BAB1-367EFD37F375,4532_8
4452_86289,311,4532_1579,Bray (Daly),E240,1,4532_7778018_Txc56719669-4CED-46AB-826F-0E5C2C7C5E7B,4532_9
4452_86289,140,4532_1585,Bray (Daly),E240,1,4532_7778018_TxcC11C44F7-0B6F-421C-9CA5-4A14E94A1655,4532_9
4452_86289,314,4532_1595,Bray (Daly),E268,1,4532_7778018_Txc418E3313-DBDF-4FA7-A226-4411F9001AB3,4532_6
4452_86289,151,4532_1596,Bray (Daly),E268,1,4532_7778018_Txc9340FE00-F115-4DCD-89A0-D56968D033D1,4532_6
4452_86289,312,4532_1598,Greystones,E133,1,4532_7778018_Txc94F19239-1B2D-4E82-B358-BA68E4538173,4532_5
4452_86289,139,4532_1602,Greystones,E129,1,4532_7778018_Txc40385A28-7DFC-4E7F-8E97-4585600CAD59,4532_2
4452_86289,311,4532_1603,Bray (Daly),E241,1,4532_7778018_Txc18C025C7-7A13-4CBE-A843-BF8EAFCCC890,4532_7
4452_86289,140,4532_1609,Bray (Daly),E241,1,4532_7778018_TxcC8A5AE54-A4A1-4155-B9D5-844473E0A28A,4532_7
4452_86289,139,4532_161,Greystones,E106,1,4532_7778018_Txc0255326E-A719-49FB-92F8-012BC8E7194B,4532_1
4452_86289,313,4532_1611,Bray (Daly),E234,1,4532_7778018_Txc24A188C7-6EA5-483D-8C11-07DEC0570F21,4532_8
4452_86289,130,4532_1622,Bray (Daly),E234,1,4532_7778018_Txc9B109961-6BBC-489C-A216-8E569D6F4598,4532_8
4452_86289,142,4532_1623,Bray (Daly),E234,1,4532_7778018_Txc252494B7-EF4A-4625-B5C4-13D3788A0393,4532_8
4452_86289,314,4532_1626,Greystones,E162,1,4532_7778018_Txc6593C133-8A35-4AA8-B29D-6811670C9EC6,4532_5
4452_86289,151,4532_1627,Greystones,E162,1,4532_7778018_Txc4C18CE09-F208-4977-8B1D-FAA8BD7FE57F,4532_5
4452_86289,312,4532_1629,Bray (Daly),E290,1,4532_7778018_Txc5A3B0725-0048-4DF4-9936-5B8D3326B704,4532_6
