route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
4466_86742,181,4466_23762,Liffey Valley SC,103822029,1,4466_7778022_100460,4466_181
4466_86742,182,4466_23763,Liffey Valley SC,103932029,1,4466_7778022_100460,4466_181
4466_86742,183,4466_23764,Liffey Valley SC,104042029,1,4466_7778022_100460,4466_181
4466_86742,184,4466_23765,Liffey Valley SC,104152029,1,4466_7778022_100460,4466_181
4466_86742,185,4466_23766,Liffey Valley SC,104312029,1,4466_7778022_100460,4466_181
4466_86742,186,4466_23767,Liffey Valley SC,104322029,1,4466_7778022_100460,4466_181
4466_86742,187,4466_23768,Liffey Valley SC,104432029,1,4466_7778022_100460,4466_181
4466_86742,188,4466_23769,Liffey Valley SC,104542029,1,4466_7778022_100460,4466_181
4466_86724,181,4466_2377,Rockbrook,103821905,1,4466_7778022_104161,4466_36
4466_86742,189,4466_23770,Liffey Valley SC,104652029,1,4466_7778022_100460,4466_181
4466_86742,179,4466_23771,Liffey Valley SC,104264833,1,4466_7778022_100350,4466_181
4466_86742,86,4466_23772,Liffey Valley SC,103777581,1,4466_7778022_100360,4466_182
4466_86742,190,4466_23773,Liffey Valley SC,103717581,1,4466_7778022_100360,4466_182
4466_86742,180,4466_23774,Liffey Valley SC,103812059,1,4466_7778022_100422,4466_181
4466_86742,181,4466_23775,Liffey Valley SC,103822059,1,4466_7778022_100422,4466_181
4466_86742,182,4466_23776,Liffey Valley SC,103932059,1,4466_7778022_100422,4466_181
4466_86742,183,4466_23777,Liffey Valley SC,104042059,1,4466_7778022_100422,4466_181
4466_86742,184,4466_23778,Liffey Valley SC,104152059,1,4466_7778022_100422,4466_181
4466_86742,185,4466_23779,Liffey Valley SC,104312059,1,4466_7778022_100422,4466_181
4466_86724,182,4466_2378,Rockbrook,103931905,1,4466_7778022_104161,4466_36
4466_86742,186,4466_23780,Liffey Valley SC,104322059,1,4466_7778022_100422,4466_181
4466_86742,187,4466_23781,Liffey Valley SC,104432059,1,4466_7778022_100422,4466_181
4466_86742,188,4466_23782,Liffey Valley SC,104542059,1,4466_7778022_100422,4466_181
4466_86742,189,4466_23783,Liffey Valley SC,104652059,1,4466_7778022_100422,4466_181
4466_86742,179,4466_23784,Liffey Valley SC,104264865,1,4466_7778022_100380,4466_181
4466_86742,86,4466_23785,Liffey Valley SC,103777621,1,4466_7778022_100320,4466_181
4466_86742,190,4466_23786,Liffey Valley SC,103717621,1,4466_7778022_100320,4466_181
4466_86741,184,4466_21891,Citywest,104151141,1,4466_7778022_101161,4466_175
4466_86741,185,4466_21892,Citywest,104311141,1,4466_7778022_101161,4466_175
4466_86741,186,4466_21893,Citywest,104321141,1,4466_7778022_101161,4466_175
4466_86741,187,4466_21894,Citywest,104431141,1,4466_7778022_101161,4466_175
4466_86741,188,4466_21895,Citywest,104541141,1,4466_7778022_101161,4466_175
4466_86741,189,4466_21896,Citywest,104651141,1,4466_7778022_101161,4466_175
4466_86741,180,4466_21897,Citywest,103811163,1,4466_7778022_101131,4466_175
4466_86741,181,4466_21898,Citywest,103821163,1,4466_7778022_101131,4466_175
4466_86741,182,4466_21899,Citywest,103931163,1,4466_7778022_101131,4466_175
4466_86720,189,4466_219,Sutton Station,104652074,0,4466_7778022_103104,4466_1
4466_86723,185,4466_2190,Ticknock,104312801,1,4466_7778022_100980,4466_32
4466_86741,183,4466_21900,Citywest,104041163,1,4466_7778022_101131,4466_175
4466_86741,184,4466_21901,Citywest,104151163,1,4466_7778022_101131,4466_175
4466_86741,185,4466_21902,Citywest,104311163,1,4466_7778022_101131,4466_175
4466_86741,186,4466_21903,Citywest,104321163,1,4466_7778022_101131,4466_175
4466_86741,187,4466_21904,Citywest,104431163,1,4466_7778022_101131,4466_175
4466_86741,188,4466_21905,Citywest,104541163,1,4466_7778022_101131,4466_175
4466_86741,189,4466_21906,Citywest,104651163,1,4466_7778022_101131,4466_175
4466_86741,179,4466_21907,Citywest,104264111,1,4466_7778022_100900,4466_175
4466_86741,86,4466_21908,Citywest,103777007,1,4466_7778022_100720,4466_176
4466_86741,190,4466_21909,Citywest,103717007,1,4466_7778022_100720,4466_176
4466_86723,186,4466_2191,Ticknock,104322801,1,4466_7778022_100980,4466_32
4466_86741,180,4466_21910,Citywest,103811209,1,4466_7778022_101140,4466_175
4466_86741,181,4466_21911,Citywest,103821209,1,4466_7778022_101140,4466_175
4466_86741,182,4466_21912,Citywest,103931209,1,4466_7778022_101140,4466_175
4466_86741,183,4466_21913,Citywest,104041209,1,4466_7778022_101140,4466_175
4466_86741,184,4466_21914,Citywest,104151209,1,4466_7778022_101140,4466_175
4466_86741,185,4466_21915,Citywest,104311209,1,4466_7778022_101140,4466_175
4466_86741,186,4466_21916,Citywest,104321209,1,4466_7778022_101140,4466_175
4466_86741,187,4466_21917,Citywest,104431209,1,4466_7778022_101140,4466_175
4466_86741,188,4466_21918,Citywest,104541209,1,4466_7778022_101140,4466_175
4466_86741,189,4466_21919,Citywest,104651209,1,4466_7778022_101140,4466_175
4466_86723,187,4466_2192,Ticknock,104432801,1,4466_7778022_100980,4466_32
4466_86741,180,4466_21920,Citywest,103811243,1,4466_7778022_101070,4466_175
4466_86741,181,4466_21921,Citywest,103821243,1,4466_7778022_101070,4466_175
4466_86741,182,4466_21922,Citywest,103931243,1,4466_7778022_101070,4466_175
4466_86741,183,4466_21923,Citywest,104041243,1,4466_7778022_101070,4466_175
4466_86741,184,4466_21924,Citywest,104151243,1,4466_7778022_101070,4466_175
4466_86741,185,4466_21925,Citywest,104311243,1,4466_7778022_101070,4466_175
4466_86741,186,4466_21926,Citywest,104321243,1,4466_7778022_101070,4466_175
4466_86741,187,4466_21927,Citywest,104431243,1,4466_7778022_101070,4466_175
4466_86741,188,4466_21928,Citywest,104541243,1,4466_7778022_101070,4466_175
4466_86741,189,4466_21929,Citywest,104651243,1,4466_7778022_101070,4466_175
4466_86723,188,4466_2193,Ticknock,104542801,1,4466_7778022_100980,4466_32
4466_86741,179,4466_21930,Citywest,104264153,1,4466_7778022_100940,4466_176
4466_86741,86,4466_21931,Citywest,103777025,1,4466_7778022_100741,4466_177
4466_86741,190,4466_21932,Citywest,103717025,1,4466_7778022_100741,4466_177
4466_86741,180,4466_21933,Citywest,103811271,1,4466_7778022_101200,4466_175
4466_86741,181,4466_21934,Citywest,103821271,1,4466_7778022_101200,4466_175
4466_86741,182,4466_21935,Citywest,103931271,1,4466_7778022_101200,4466_175
4466_86741,183,4466_21936,Citywest,104041271,1,4466_7778022_101200,4466_175
4466_86741,184,4466_21937,Citywest,104151271,1,4466_7778022_101200,4466_175
4466_86741,185,4466_21938,Citywest,104311271,1,4466_7778022_101200,4466_175
4466_86741,186,4466_21939,Citywest,104321271,1,4466_7778022_101200,4466_175
4466_86723,189,4466_2194,Ticknock,104652801,1,4466_7778022_100980,4466_32
4466_86741,187,4466_21940,Citywest,104431271,1,4466_7778022_101200,4466_175
4466_86741,188,4466_21941,Citywest,104541271,1,4466_7778022_101200,4466_175
4466_86741,189,4466_21942,Citywest,104651271,1,4466_7778022_101200,4466_175
4466_86741,180,4466_21943,Citywest,103811321,1,4466_7778022_101151,4466_175
4466_86741,181,4466_21944,Citywest,103821321,1,4466_7778022_101151,4466_175
4466_86741,182,4466_21945,Citywest,103931321,1,4466_7778022_101151,4466_175
4466_86741,183,4466_21946,Citywest,104041321,1,4466_7778022_101151,4466_175
4466_86741,184,4466_21947,Citywest,104151321,1,4466_7778022_101151,4466_175
4466_86741,185,4466_21948,Citywest,104311321,1,4466_7778022_101151,4466_175
4466_86741,186,4466_21949,Citywest,104321321,1,4466_7778022_101151,4466_175
4466_86723,179,4466_2195,Ticknock,104265483,1,4466_7778022_100760,4466_33
4466_86741,187,4466_21950,Citywest,104431321,1,4466_7778022_101151,4466_175
4466_86741,188,4466_21951,Citywest,104541321,1,4466_7778022_101151,4466_175
4466_86759,86,4466_10181,Blackrock,103778418,1,4466_7778022_100692,4466_123
4466_86759,190,4466_10182,Blackrock,103718418,1,4466_7778022_100692,4466_123
4466_86759,180,4466_10183,Blackrock,103813155,1,4466_7778022_100882,4466_123
4466_86759,181,4466_10184,Blackrock,103823155,1,4466_7778022_100882,4466_123
4466_86759,182,4466_10185,Blackrock,103933155,1,4466_7778022_100882,4466_123
4466_86759,183,4466_10186,Blackrock,104043155,1,4466_7778022_100882,4466_123
4466_86759,184,4466_10187,Blackrock,104153155,1,4466_7778022_100882,4466_123
4466_86759,185,4466_10188,Blackrock,104313155,1,4466_7778022_100882,4466_123
4466_86759,186,4466_10189,Blackrock,104323155,1,4466_7778022_100882,4466_123
4466_86721,189,4466_1019,DCU Helix,104651464,0,4466_7778022_104060,4466_14
4466_86759,187,4466_10190,Blackrock,104433155,1,4466_7778022_100882,4466_123
4466_86759,188,4466_10191,Blackrock,104543155,1,4466_7778022_100882,4466_123
4466_86759,189,4466_10192,Blackrock,104653155,1,4466_7778022_100882,4466_123
4466_86759,179,4466_10193,Blackrock,104265814,1,4466_7778022_100892,4466_123
4466_86760,180,4466_10194,Leopardstown Valley,103811030,0,4466_7778022_100110,4466_126
4466_86760,181,4466_10195,Leopardstown Valley,103821030,0,4466_7778022_100110,4466_126
4466_86760,182,4466_10196,Leopardstown Valley,103931030,0,4466_7778022_100110,4466_126
4466_86760,183,4466_10197,Leopardstown Valley,104041030,0,4466_7778022_100110,4466_126
4466_86760,184,4466_10198,Leopardstown Valley,104151030,0,4466_7778022_100110,4466_126
4466_86760,185,4466_10199,Leopardstown Valley,104311030,0,4466_7778022_100110,4466_126
4466_86720,189,4466_102,Sutton Station,104651540,0,4466_7778022_103108,4466_1
4466_86721,179,4466_1020,DCU Helix,104264298,0,4466_7778022_104080,4466_14
4466_86760,186,4466_10200,Leopardstown Valley,104321030,0,4466_7778022_100110,4466_126
4466_86760,187,4466_10201,Leopardstown Valley,104431030,0,4466_7778022_100110,4466_126
4466_86760,188,4466_10202,Leopardstown Valley,104541030,0,4466_7778022_100110,4466_126
4466_86760,189,4466_10203,Leopardstown Valley,104651030,0,4466_7778022_100110,4466_126
4466_86760,179,4466_10204,Leopardstown Valley,104264016,0,4466_7778022_100100,4466_127
4466_86760,180,4466_10205,Leopardstown Valley,103811074,0,4466_7778022_100130,4466_126
4466_86760,181,4466_10206,Leopardstown Valley,103821074,0,4466_7778022_100130,4466_126
4466_86760,182,4466_10207,Leopardstown Valley,103931074,0,4466_7778022_100130,4466_126
4466_86760,183,4466_10208,Leopardstown Valley,104041074,0,4466_7778022_100130,4466_126
4466_86760,184,4466_10209,Leopardstown Valley,104151074,0,4466_7778022_100130,4466_126
4466_86721,86,4466_1021,DCU Helix,103777110,0,4466_7778022_104060,4466_15
4466_86760,185,4466_10210,Leopardstown Valley,104311074,0,4466_7778022_100130,4466_126
4466_86760,186,4466_10211,Leopardstown Valley,104321074,0,4466_7778022_100130,4466_126
4466_86760,187,4466_10212,Leopardstown Valley,104431074,0,4466_7778022_100130,4466_126
4466_86760,188,4466_10213,Leopardstown Valley,104541074,0,4466_7778022_100130,4466_126
4466_86760,189,4466_10214,Leopardstown Valley,104651074,0,4466_7778022_100130,4466_126
4466_86760,86,4466_10215,Leopardstown Valley,103777002,0,4466_7778022_100110,4466_126
4466_86760,190,4466_10216,Leopardstown Valley,103717002,0,4466_7778022_100110,4466_126
4466_86760,180,4466_10217,Leopardstown Valley,103811150,0,4466_7778022_100120,4466_126
4466_86760,181,4466_10218,Leopardstown Valley,103821150,0,4466_7778022_100120,4466_126
4466_86760,182,4466_10219,Leopardstown Valley,103931150,0,4466_7778022_100120,4466_126
4466_86721,190,4466_1022,DCU Helix,103717110,0,4466_7778022_104060,4466_15
4466_86760,183,4466_10220,Leopardstown Valley,104041150,0,4466_7778022_100120,4466_126
4466_86760,184,4466_10221,Leopardstown Valley,104151150,0,4466_7778022_100120,4466_126
4466_86760,185,4466_10222,Leopardstown Valley,104311150,0,4466_7778022_100120,4466_126
4466_86760,186,4466_10223,Leopardstown Valley,104321150,0,4466_7778022_100120,4466_126
4466_86760,187,4466_10224,Leopardstown Valley,104431150,0,4466_7778022_100120,4466_126
4466_86760,188,4466_10225,Leopardstown Valley,104541150,0,4466_7778022_100120,4466_126
4466_86760,189,4466_10226,Leopardstown Valley,104651150,0,4466_7778022_100120,4466_126
4466_86760,179,4466_10227,Leopardstown Valley,104264088,0,4466_7778022_100110,4466_127
4466_86760,180,4466_10228,Leopardstown Valley,103811218,0,4466_7778022_100110,4466_126
4466_86760,181,4466_10229,Leopardstown Valley,103821218,0,4466_7778022_100110,4466_126
4466_86721,180,4466_1023,DCU Helix,103811610,0,4466_7778022_104120,4466_14
4466_86760,182,4466_10230,Leopardstown Valley,103931218,0,4466_7778022_100110,4466_126
4466_86760,183,4466_10231,Leopardstown Valley,104041218,0,4466_7778022_100110,4466_126
4466_86760,184,4466_10232,Leopardstown Valley,104151218,0,4466_7778022_100110,4466_126
4466_86760,185,4466_10233,Leopardstown Valley,104311218,0,4466_7778022_100110,4466_126
4466_86760,186,4466_10234,Leopardstown Valley,104321218,0,4466_7778022_100110,4466_126
4466_86760,187,4466_10235,Leopardstown Valley,104431218,0,4466_7778022_100110,4466_126
4466_86760,188,4466_10236,Leopardstown Valley,104541218,0,4466_7778022_100110,4466_126
4466_86760,189,4466_10237,Leopardstown Valley,104651218,0,4466_7778022_100110,4466_126
4466_86760,180,4466_10238,Leopardstown Valley,103811326,0,4466_7778022_100150,4466_126
4466_86760,181,4466_10239,Leopardstown Valley,103821326,0,4466_7778022_100150,4466_126
4466_86741,189,4466_21952,Citywest,104651321,1,4466_7778022_101151,4466_175
4466_86741,179,4466_21953,Citywest,104264199,1,4466_7778022_100950,4466_176
4466_86741,86,4466_21954,Citywest,103777049,1,4466_7778022_100730,4466_177
4466_86741,190,4466_21955,Citywest,103717049,1,4466_7778022_100730,4466_177
4466_86741,180,4466_21956,Citywest,103811353,1,4466_7778022_101080,4466_175
4466_86741,181,4466_21957,Citywest,103821353,1,4466_7778022_101080,4466_175
4466_86741,182,4466_21958,Citywest,103931353,1,4466_7778022_101080,4466_175
4466_86741,183,4466_21959,Citywest,104041353,1,4466_7778022_101080,4466_175
